name,id
Greenock,1
Glasgow,2
Preston,3
Birmingham,4
Southampton,5
Le Havre,6
Paris,7
Orléans,8
Bordeaux,9
San Sebastián,10
Burgos,11
Madrid,12
Seville,13
Algeciras,14
Inverness,15
Perth,16
Edinburgh,17
Newcastle,18
London,19
Folkestone,20
Dover,21
Calais,22
Lyon,23
Orange,24
Narbonne,25
Girona,26
Barcelona,27
Tarragona,28
Castellón de la Plana,29
Valencia,30
Alicante,31
Murcia,32
Almería,33
Málaga,34
Hook of Holland,35
Rotterdam,36
Eindhoven,37
Maastricht,38
Liège,39
Bastogne,40
Arlon,41
Luxembourg,42
Metz,43
Saint-Avold,44
Strasbourg,45
Mulhouse,46
Basel,47
Olten,48
Bern,49
Lausanne,50
Geneva,51
Mont Blanc,52
Aosta,53
Ivrea,54
Vercelli,55
Alessandria,56
Genoa,57
Bastia,58
Porto-Vecchio,59
Bonifacio,60
Porto Torres,61
Sassari,62
Cagliari,63
Amsterdam,64
Utrecht,65
Arnhem,66
Emmerich,67
Oberhausen,68
Cologne,69
Frankfurt am Main,70
Heidelberg,71
Karlsruhe,72
Offenburg,73
Lucerne,74
Altdorf,75
Gotthard Pass,76
Bellinzona,77
Lugano,78
Chiasso,79
Como,80
Milan,81
Piacenza,82
Parma,83
Modena,84
Florence,85
Rome,86
Karesuvanto,87
Karesuando,88
Arvidsjaur,89
Östersund,90
Mora,91
Säffle,92
Gothenburg,93
Frederikshavn,94
Aalborg,95
Aarhus,96
Vejle,97
Kolding,98
Flensburg,99
Hamburg,100
Hanover,101
Göttingen,102
Kassel,103
Fulda,104
Würzburg,105
Nuremberg,106
Munich,107
Rosenheim,108
Wörgl,109
Innsbruck,110
Brenner,111
Fortezza,112
Bolzano,113
Trento,114
Verona,115
Bologna,116
Cesena,117
Perugia,118
Fiano Romano,119
Naples,120
Salerno,121
Sicignano degli Alburni,122
Cosenza,123
Villa San Giovanni,124
Messina,125
Catania,126
Siracusa,127
Gela,128
Helsingør,129
Copenhagen,130
Køge,131
Vordingborg,132
Farø,133
Nykøbing Falster,134
Gedser,135
Rostock,136
Berlin,137
Lübbenau,138
Dresden,139
Ústí nad Labem,140
Prague,141
Tábor,142
Linz,143
Salzburg,144
Villach,145
Tarvisio,146
Udine,147
Palmanova,148
Mestre,149
Ravenna,150
Rimini,151
Fano,152
Ancona,153
Pescara,154
Canosa di Puglia,155
Bari,156
Brindisi,157
Igoumenitsa,158
Preveza,159
Rhion,160
Patras,161
Pyrgos,162
Kalamata,163
Malmö,164
Ystad,165
Świnoujście,166
Wolin,167
Goleniów,168
Szczecin,169
Gorzów Wielkopolski,170
Świebodzin,171
Zielona Góra,172
Legnica,173
Jelenia Góra,174
Harrachov,175
Železný Brod,176
Turnov,177
Mladá Boleslav,178
Jihlava,179
Brno,180
Bratislava,181
Rajka,182
Csorna,183
Szombathely,184
Zalaegerszeg,185
Nagykanizsa,186
Letenye,187
Zagreb,188
Karlovac,189
Rijeka,190
Split,191
Dubrovnik,192
Petrovac,193
Podgorica,194
Bijelo Polje,195
Pristina,196
Skopje,197
Kičevo,198
Ohrid,199
Bitola,200
Niki,201
Vevi,202
Kozani,203
Larissa,204
Domokos,205
Lamia,206
Brallos,207
Itea,208
Antirrio,209
Aigio,210
Corinth,211
Tripoli,212
Kissamos,213
Chania,214
Vardø,215
Vadsø,216
Varangerbotn,217
Utsjoki,218
Inari,219
Ivalo,220
Sodankylä,221
Rovaniemi,222
Kemi,223
Oulu,224
Jyväskylä,225
Heinola,226
Lahti,227
Helsinki,228
Gdańsk,229
Świecie,230
Łódź,231
Piotrków Trybunalski,232
Katowice,233
Žilina,234
Győr,235
Budapest,236
Szeged,237
Subotica,238
Novi Sad,239
Belgrade,240
Niš,241
Kumanovo,242
Veles,243
Gevgelija,244
Evzoni,245
Thessaloniki,246
Katerini,247
Athens,248
Heraklion,249
Agios Nikolaos,250
Sitia,251
Klaipėda,252
Kaunas,253
Vilnius,254
Lida,255
Slonim,256
Kobryn,257
Dubno,258
Ternopil,259
Chernivtsi,260
Siret,261
Suceava,262
Roman,263
Urziceni,264
Bucharest,265
Giurgiu,266
Ruse,267
Byala,268
Veliko Tarnovo,269
Stara Zagora,270
Haskovo,271
Svilengrad,272
Ormenio,273
Kastanies,274
Didymoteicho,275
Alexandroupoli,276
Saint Petersburg,277
Pskov,278
Gomel,279
Kiev,280
Odessa,281
Samsun,282
Merzifon,283
Moscow,284
Kaluga,285
Bryansk,286
Hlukhiv,287
Kirkenes,288
Murmansk,289
Petrozavodsk,290
Orel,291
Kharkiv,292
Simferopol,293
Alushta,294
Yalta,295
Yaroslavl,296
Voronezh,297
Novorossiysk,298
Mineralnye Vody,299
Nalchik,300
Vladikavkaz,301
Stepantsminda,302
Mtskheta,303
Tbilisi,304
Marneuli,305
Bolnisi,306
Yerevan,307
Goris,308
Megri,309
Tambov,310
Povorino,311
Volgograd,312
Astrakhan,313
Makhachkala,314
Kuba,315
Baku,316
Alyat,317
Astara,318
Samara,319
